Command: ,8.75T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
380709170 ,5355.87 ,12.73 ,48.83 ,48.83 , 
380776430 ,5347.59 ,5.04 ,260.42 ,156.96 , 
380843636 ,5368.65 ,8.38 ,195.31 ,129.19 , 
380910798 ,5357.14 ,13.26 ,130.21 ,74.59 , 
380977984 ,5351.41 ,10.10 ,97.66 ,84.57 , 
381045142 ,5344.42 ,4.40 ,130.21 ,28.19 , 
381112312 ,5369.93 ,2.22 ,113.93 ,112.76 , 
381179498 ,5368.65 ,8.38 ,244.14 ,146.48 , 
381246674 ,5363.53 ,14.39 ,146.48 ,48.83 , 
381313820 ,5355.23 ,11.63 ,32.55 ,28.19 , 
381380988 ,5356.51 ,11.04 ,113.93 ,101.64 , 
381448230 ,5359.06 ,11.96 ,179.04 ,230.75 , 
381515370 ,5364.81 ,8.36 ,179.04 ,184.86 , 
381582504 ,5357.78 ,13.84 ,32.55 ,28.19 , 
381649672 ,5356.51 ,12.15 ,179.04 ,122.88 , 
381716872 ,5361.61 ,10.90 ,227.87 ,28.19 , 
381784004 ,5362.25 ,4.82 ,260.42 ,184.86 , 
381851170 ,5362.25 ,11.07 ,81.38 ,28.19 , 
381918292 ,5366.09 ,4.00 ,130.21 ,74.59 , 
381985428 ,5366.09 ,4.00 ,227.87 ,122.88 , 
382052616 ,5362.25 ,12.76 ,81.38 ,101.64 , 
382119784 ,5360.33 ,4.42 ,32.55 ,56.38 , 
382186892 ,5370.57 ,7.69 ,195.31 ,176.05 , 
382254084 ,5363.53 ,13.87 ,227.87 ,171.48 , 
382321274 ,5364.17 ,1.11 ,48.83 ,48.83 , 
382388360 ,5359.69 ,11.70 ,146.48 ,48.83 , 
382455558 ,5365.45 ,7.27 ,81.38 ,101.64 , 
382522712 ,5363.53 ,1.11 ,162.76 ,122.88 , 
382589914 ,5355.87 ,12.73 ,113.93 ,122.88 , 
382657088 ,5361.61 ,10.90 ,390.63 ,0.00 , 
382724028 ,5353.32 ,10.64 ,48.83 ,48.83 , 
382791332 ,5355.23 ,11.63 ,130.21 ,28.19 , 
382858518 ,5359.06 ,8.35 ,48.83 ,48.83 , 
382925600 ,5366.73 ,3.84 ,130.21 ,74.59 , 
382992780 ,5362.89 ,11.66 ,162.76 ,122.88 , 
383059982 ,5360.33 ,4.42 ,195.31 ,146.48 , 
383127112 ,5361.61 ,10.90 ,179.04 ,28.19 , 
383194256 ,5363.53 ,13.87 ,48.83 ,48.83 , 
383261386 ,5357.14 ,11.64 ,113.93 ,122.88 , 
383328614 ,5365.45 ,14.66 ,276.69 ,240.86 , 
383395744 ,5366.09 ,7.99 ,97.66 ,84.57 , 
383462812 ,5363.53 ,1.11 ,179.04 ,74.59 , 
383530000 ,5356.51 ,12.30 ,32.55 ,28.19 , 
383597132 ,5353.96 ,9.43 ,211.59 ,286.11 , 
383664308 ,5369.29 ,9.48 ,162.76 ,74.59 , 
383731434 ,5355.23 ,13.25 ,162.76 ,156.96 , 
383798642 ,5359.69 ,8.85 ,260.42 ,101.64 , 
383865794 ,5359.69 ,9.05 ,146.48 ,169.15 , 
383932942 ,5362.25 ,11.07 ,97.66 ,97.66 , 
384000054 ,5353.96 ,9.62 ,65.10 ,28.19 , 
384067182 ,5362.89 ,5.75 ,48.83 ,0.00 , 
384134124 ,5362.25 ,12.76 ,195.31 ,146.48 , 
384201560 ,5356.51 ,11.04 ,309.24 ,101.64 , 
384268744 ,5359.06 ,10.66 ,81.38 ,56.38 , 
384335814 ,5357.78 ,16.05 ,48.83 ,0.00 , 
384402788 ,5364.17 ,1.11 ,179.04 ,230.75 , 
384470186 ,5362.25 ,12.76 ,113.93 ,74.59 , 
384537324 ,5353.32 ,13.78 ,81.38 ,56.38 , 
384604450 ,5361.61 ,3.99 ,113.93 ,74.59 , 
384671606 ,5363.53 ,12.33 ,48.83 ,48.83 , 
384738740 ,5359.06 ,8.35 ,162.76 ,28.19 , 
384805890 ,5359.69 ,12.31 ,130.21 ,101.64 , 
384873108 ,5362.89 ,11.66 ,179.04 ,184.86 , 
384940266 ,5368.65 ,6.66 ,244.14 ,84.57 , 
385007372 ,5353.32 ,13.78 ,162.76 ,171.48 , 
385074570 ,5362.25 ,11.07 ,113.93 ,74.59 , 
385141712 ,5362.89 ,0.00 ,65.10 ,74.59 , 
385208694 ,5366.09 ,14.91 ,113.93 ,28.19 , 
385276002 ,5358.42 ,10.88 ,81.38 ,28.19 , 
385343140 ,5357.14 ,13.26 ,195.31 ,212.84 , 
385410366 ,5355.87 ,11.04 ,211.59 ,140.95 , 
385477478 ,5353.32 ,8.33 ,48.83 ,48.83 , 
385544542 ,5361.61 ,3.99 ,113.93 ,28.19 , 
385611748 ,5362.25 ,11.07 ,81.38 ,56.38 , 
385678882 ,5359.69 ,8.85 ,276.69 ,197.34 , 
385746058 ,5366.09 ,5.54 ,162.76 ,197.34 , 
385813210 ,5362.89 ,11.66 ,97.66 ,97.66 , 
385880324 ,5361.61 ,3.99 ,146.48 ,84.57 , 
385947478 ,5371.21 ,4.84 ,244.14 ,146.48 , 
386014644 ,5362.89 ,13.28 ,97.66 ,129.19 , 
386081802 ,5364.17 ,2.22 ,130.21 ,56.38 , 
386148960 ,5358.42 ,11.54 ,195.31 ,223.76 , 
386216132 ,5359.06 ,11.49 ,292.97 ,97.66 , 
386283228 ,5357.78 ,12.15 ,81.38 ,56.38 , 
386350410 ,5362.89 ,11.66 ,65.10 ,74.59 , 
386417532 ,5368.65 ,3.84 ,113.93 ,28.19 , 
386484658 ,5369.29 ,7.77 ,32.55 ,28.19 , 
386551786 ,5363.53 ,12.33 ,179.04 ,112.76 , 
386619000 ,5366.09 ,4.00 ,97.66 ,0.00 , 
386685888 ,5359.06 ,6.63 ,179.04 ,74.59 , 
386753260 ,5362.89 ,11.66 ,162.76 ,74.59 , 
386820442 ,5362.25 ,17.39 ,32.55 ,56.38 , 
386887572 ,5364.17 ,7.99 ,130.21 ,74.59 , 
